Organization Name,Organization Name URL,Headquarters Location,Founded Date,Founded Date Precision,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Description,Website,X (Twitter),LinkedIn,Founders,Number of Funding Rounds,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Full Description
Baselayer,https://www.crunchbase.com/organization/baselayer-f1bf,"New York, New York, United States",2023-01-01,year,"B2B, Credit Bureau, Cyber Security, Financial Services, FinTech, Fraud Detection, Identity Management, Information Technology, Software, Virtual Reality",2026-07-30,20000000,USD,20000000,"Baselayer automates B2B risk assessment and eliminates fraud for over 1,900 Financial & Government Institutions.",https://baselayer.com/,https://x.com/baselayerhq,https://www.linkedin.com/company/baselayer/,"Jonathan Awad, Timothy Hyde, William Slessman",4,Series A,47000000,USD,47000000,"Torch Capital, Picus Capital, Comma Capital, Founder Collective, Gilgamesh Ventures","Afore Capital, M13, Picus Capital","Baselayer automates business risk assessment and eliminates B2B fraud for over 1,900 Financial and Government Institutions. It offers services such as business verification (KYB), fraud detection, business onboarding optimization, risk profiling, portfolio monitoring & alerting, and workflow automation. Baselayer empowers 1,900+ financial institutions, government agencies, lenders, and fintech to unlock instant trust with any business in America."
Ostium,https://www.crunchbase.com/organization/ostium,"New York, New York, United States",2022-01-01,year,"Cryptocurrency, FinTech, Trading Platform",2025-12-03,20000000,USD,20000000,Ostium delivers a decentralized trading platform that enables leveraged trading of real-world assets.,https://www.ostium.com/,https://x.com/ostiumlabs,https://www.linkedin.com/company/ostium-labs,Marco Ribiero,2,Series A,23549020,USD,23549020,"General Catalyst, LocalGlobe, Coinbase Ventures, Soma Capital, Susquehanna International Group","General Catalyst, Jump Crypto, LocalGlobe","Ostium delivers a decentralized trading platform that enables leveraged trading of real-world assets, including stocks, commodities, indices, foreign exchange, and cryptocurrencies, directly on-chain. Users maintain self-custody of their funds; trades, liquidity, and fees are publicly visible on a blockchain, removing reliance on traditional brokers. The platform offers up to 200× leverage and supports both long and short positions across a wide range of asset classes. Ostium uses real-time, low-latency price feeds via oracle systems to provide accurate and timely pricing. In addition, it recently introduced a points program that rewards user trading activity, referrals, and liquidity provision by converting on-platform engagement into a points ledger to track participation."
Minerva,https://www.crunchbase.com/organization/minerva-2072,"New York, New York, United States",2023-03-01,day,"Analytics, Artificial Intelligence (AI), Database, Lead Generation",2026-06-09,20000000,USD,20000000,Minerva builds artificial intelligence that understands consumer behavior,https://www.minerva.io,,https://www.linkedin.com/company/tryminerva/,"Jackson Engles, Mathew Joseph",4,Series A,35321983,USD,35321983,"8VC, Soma Capital, The General Partnership, topology, Lingotto",,"Minerva's platform makes consumer behavior observable, predictable and actionable. We help our customers power their go-to-market organizations (both human and agentic) with hyper-granular context on their customers."
Project Eleven,https://www.crunchbase.com/organization/project-11,"New York, New York, United States",2024-01-01,year,"Information Technology, Quantum Computing",2026-01-14,20000000,USD,20000000,Project Eleven is a development company dedicated to advancing post-quantum cryptography solutions.,https://www.projecteleven.com,https://x.com/qdayclock,https://www.linkedin.com/company/p-11,Finn Murphy,2,Series A,26000000,USD,26000000,"Coinbase Ventures, Fin Capital, Variant, Quantonation, Lattice Fund","Castle Island Ventures, Quantonation, Variant",Project Eleven is a development company dedicated to advancing post-quantum cryptography solutions.
Tavily,https://www.crunchbase.com/organization/tavily,"New York, New York, United States",2024-05-12,day,"Artificial Intelligence (AI), Generative AI, Information Technology, Search Engine",2025-08-06,20000000,USD,20000000,Tavily is a search engine for LLMs and RAG that connects AI agents to the real-time web.,https://tavily.com,https://x.com/tavilyai,https://www.linkedin.com/company/tavily,"Assaf Elovic, Rotem Weiss, Yuval Rozio",2,Series A,25000000,USD,25000000,"Insight Partners, Alpha Wave Global","Alpha Wave Global, Insight Partners","Tavily is a search engine for LLMs and RAG that connects AI agents to the real-time web. The company provides a platform that enables AI agents to navigate live web data through a single, developer-friendly search layer. It also supports a wide range of applications, including fraud prevention at major financial institutions, logistics optimization for large-scale shipping providers, and academic research at leading institutions."
Prime Security,https://www.crunchbase.com/organization/prime-security,"New York, New York, United States",2023-12-01,month,"Artificial Intelligence (AI), Cyber Security",2025-12-09,20000000,USD,20000000,AI Agents for Product Security,https://primesec.ai/,,https://www.linkedin.com/company/primesecurityai/,"Danny Hanga, Dimitry Shvartsman, Matan Markovics, Michael Nov",2,Series A,26000000,USD,26000000,"Foundation Capital, Flybridge, Scale Venture Partners, PayPal Ventures, Ofir Ehrlich","Foundation Capital, Scale Venture Partners",
Zorro,https://www.crunchbase.com/organization/myzorro,"New York, New York, United States",2022-01-01,year,"Employee Benefits, Health Care, Insurance, InsurTech",2025-06-11,20000000,USD,20000000,Zorro is an insurtech company that specializes in providing health insurance and health services.,http://www.myzorro.co,,https://www.linkedin.com/company/myzorrotech/,"Guy Ezekiel, Maya Perl",2,Series A,31500000,USD,31500000,"Pitango VC, 10D, Entrée Capital","10D, Entrée Capital, Pitango VC","Zorro is an insurtech company that provides health insurance and health services. It reduces health insurance costs for employers and helps them create personalized, better benefits that employees value and want."
Thread AI,https://www.crunchbase.com/organization/thread-ai-8b33,"New York, New York, United States",2023-01-01,year,"Agentic AI, Artificial Intelligence (AI), Software, Web Development",2025-06-05,20000000,USD,20000000,Thread AI's goal is to make infrastructure simple for enterprises seeking to get the most from AI.,https://www.threadai.com/,https://x.com/threadai_inc?mx=2,https://www.linkedin.com/company/thread-ai/,"Angela McNeal, Mayada Gonimah",2,Series A,26000000,USD,26000000,"Plug and Play, Index Ventures, Scale Venture Partners, Greycroft, Homebrew","Greycroft, Index Ventures",Thread AI makes infrastructure simple for enterprises and can drive adoption and innovation in AI.
Antimetal,https://www.crunchbase.com/organization/antimetal,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Cloud Infrastructure, Cloud Management, Developer Tools",2025-06-12,20000000,USD,20000000,For everything that happens after you deploy.,https://www.antimetal.com,https://x.com/antimetal,https://www.linkedin.com/company/antimetal,"Matthew Parkhurst, Shreyas Iyer",2,Series A,24300000,USD,24300000,"Framework Ventures, Chapter One, Buckley Ventures, Sound Ventures, P2 Ventures","Framework Ventures, Sound Ventures",
Board,https://www.crunchbase.com/organization/board-5d85,"New York, New York, United States",2023-01-01,year,"Card and Board Games, Digital Entertainment, Gaming, Online Games",2026-06-02,20000000,USD,20000000,Board is the face-to-face tabletop gaming console designed to bring people together physically around a 24-inch screen.,https://board.fun,https://x.com/boardisfun,https://www.linkedin.com/company/boardisfun,Brynn Putnam,2,Series A,20000000,USD,20000000,"Union Square Ventures, BoxGroup, First Round Capital, SV Angel, Haystack",Union Square Ventures,"Board is a 24-inch tabletop gaming console that blends the tactile, face-to-face interaction of traditional board games with the immersive and dynamic elements of video games. Designed to bring people together physically around a table, it features 12 exclusive games across arcade, strategy, action, and more, each controlled by unique physical pieces that make gameplay intuitive. Suitable for players aged 6 and up, Board supports solo, cooperative, and competitive play, making it ideal for family game nights and social gatherings, with parental controls and no mature content. It offers a fresh, social, and interactive gaming experience that encourages engagement and fun for players of all skill levels."
Nominal,https://www.crunchbase.com/organization/nominal-75ce,"New York, New York, United States",2023-01-01,year,"Accounting, Agentic AI, Software",2025-07-09,20000000,USD,20000000,Nominal is an AI-powered accounting automation platform for finance teams.,https://www.nominal.so,https://x.com/Nominal_SO,https://www.linkedin.com/company/nominalinc,"Golan Kopichinsky, Guy Leibovitz",2,Series A,29200000,USD,29200000,"Bling Capital, Workday Ventures, Vela Partners, Incubate Fund, Hyperwise Ventures","Bling Capital, Hyperwise Ventures, N47, Workday Ventures","Nominal is an AI-native financial operations platform that helps accounting teams automate complex accounting workflows using agentic AI. It integrates with existing ERP systems to handle reconciliation, consolidation, journal entries, reporting, and close management without replacing current software. The platform enables finance teams to reduce manual work, improve accuracy, and focus on strategic financial analysis."
Vellum,https://www.crunchbase.com/organization/vellum-74f3,"New York, New York, United States",2023-01-01,year,"Agentic AI, Artificial Intelligence (AI), Developer Platform, Information Technology, Software",2025-07-10,20000000,USD,20000000,Vellum is a provider of an enterprise development platform for building mission-critical AI products.,https://www.vellum.ai,https://x.com/vellum_ai,https://www.linkedin.com/company/vellumai,"Akash Sharma, Noa Flaherty, Sidd Seethepalli",3,Series A,25500000,USD,25500000,"Y Combinator, Pioneer Fund, TwentyTwo VC, Eastlink Capital, Rebel Fund","Leaders Fund, Y Combinator","Vellum is a provider of an enterprise development platform for building mission-critical AI products. The company equips cross-functional teams with a centralized control panel to orchestrate end-to-end AI workflows by connecting models, tools, and business data in one place to streamline the path to production. The platform combines workflow orchestration, evaluations and testing, deployment, and monitoring in one system, allowing organizations to build complex AI systems that produce consistent results."
Reclaim Security,https://www.crunchbase.com/organization/reclaim-security,"New York, New York, United States",2024-01-01,year,"Artificial Intelligence (AI), Computer, Network Security",2026-03-04,20000000,USD,20000000,Reclaim Security builds AI-powered software to automatically detect and fix security risks in an organization’s IT environment.,https://reclaim.security/,,https://www.linkedin.com/company/reclaim-security/,Barak Klinghofer,2,Series A,26000000,USD,26000000,"Acrew Capital, Ibex Investors, QP Ventures",Acrew Capital,
Ocean,https://www.crunchbase.com/organization/ocean-3b7c,"New York, New York, United States",2024-01-01,year,"Agentic AI, Cyber Security, Enterprise Software, Network Security",2026-05-19,20000000,USD,20000000,Ocean is an AI-native email security platform that uses autonomous AI agents to analyze context and prevent targeted phishing attacks.,https://ocean.insure,,https://www.linkedin.com/company/ocean-email-security,"Oran Moyal, Shay Shwartz",2,Series A,28000000,USD,28000000,"Lightspeed Venture Partners, Picture Capital, Assaf Rappaport, Yevgeny Dibrov, Cerca Partners","Lightspeed Venture Partners, Picture Capital","Ocean develops an AI-native email security platform designed to detect and prevent phishing, business email compromise, financial fraud, and other targeted email attacks. The platform uses autonomous AI agents to investigate emails in real time by analyzing intent, validating identities, examining links and infrastructure, and gathering contextual information. Ocean also provides automated triage, incident response, and employee guidance capabilities to help organizations manage email security operations."
Blossom Health,https://www.crunchbase.com/organization/blossom-health,"New York, New York, United States",2024-05-01,month,"Artificial Intelligence (AI), Health Care, Information Technology, Internet, Mental Health, Software",2026-03-26,20000000,USD,20000000,"Blossom Health is a telehealth platform that specializes in psychiatry, aiming to provide access to mental health services.",https://www.joinblossomhealth.com/,,https://www.linkedin.com/company/104568728/,John Zhao,2,Series A,20000000,USD,20000000,"Headline, Village Global, Operator Partners, Correlation Ventures, TA Ventures",Headline,"Blossom Health is a telehealth platform focused on psychiatric care, connecting individuals with licensed providers through virtual appointments. The company offers evaluation, diagnosis, and ongoing treatment that may include therapy and medication management, with services coordinated through online scheduling and consultations. It supports care for a range of mental health conditions such as anxiety, depression, ADHD, mood disorders, and substance use concerns. The platform matches patients with psychiatrists based on their needs and facilitates remote visits, allowing ongoing communication and treatment planning between patient and provider. Blossom Health integrates insurance-based billing and manages administrative processes such as appointment coordination and follow-ups. Its services are designed for individuals seeking structured psychiatric support delivered through digital channels."
Complyance,https://www.crunchbase.com/organization/complyance-0c7c,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Risk Management, Software",2026-02-11,20000000,USD,20000000,"Complyance is an AI-native software company that offers risk management, compliance automation, and control monitoring solutions.",https://www.complyance.com,https://x.com/complyancehq,https://linkedin.com/company/complyance,Richa Kaul,1,Series A,20000000,USD,20000000,"Speedinvest, Creandum, HV Capital, Everywhere Ventures, Google Ventures",Google Ventures,
Gigablue,https://www.crunchbase.com/organization/gigablue,"New York, New York, United States",2022-01-01,year,"Carbon Capture, Energy, GreenTech, Sustainability",2026-01-26,20000000,USD,20000000,High-Durability Carbon Dioxide Removal,https://www.gigablue.co,,https://www.linkedin.com/company/gigabluecarbon,Ori Shaashua,4,Series A,20000000,USD,20000000,"Plug and Play, At One Ventures, Katapult Ocean, Katapult, theDOCK","At One Ventures, Katapult, Planet Ocean Capital","Gigablue presents a groundbreaking system for carbon dioxide removal (CDR), maintaining the highest standards in environmental safety, durability, scalability, and precise measurement. Gigablue uses patented substrates to effectively export CO2 to the deep ocean. The carbon captured in the biomass is sequestered as the substrates sink into the deep ocean, storing it for hundreds to thousands of years. The substrates support the controlled capture of additional carbon by fostering phytoplankton activity in nutrient-depleted regions.” To track the substrates and quantify the sequestered carbon, Gigablue utilizes oceanographic models and a comprehensive set of sensors. This also ensures stringent environmental safety. Collaborating with research institutions, the environmental community, and indigenous societies, Gigablue aims to enhance benefits not only for the planet, but also for people."
Somethings,https://www.crunchbase.com/organization/somethings,"New York, New York, United States",2022-01-01,year,"Health Care, Mental Health, Mobile Apps, Wellness",2026-02-10,19200000,USD,19200000,Somethings is a platform for wellness tailored to young people that links youngsters with qualified mentors.,https://www.somethings.com/,,https://www.linkedin.com/company/somethingsgetbetter/about/,Patrick Gilligan,3,Series A,28582577,USD,28582577,"General Catalyst, Plug and Play, Gaingels, Tau Ventures, Catalio Capital Management","Catalio Capital Management, General Catalyst",Somethings is a platform for wellness tailored to young people that links youngsters with qualified mentors.
Fortuna Health,https://www.crunchbase.com/organization/fortuna-health,"New York, New York, United States",2023-01-01,year,"Health Care, Information Technology, Navigation",2025-07-21,18275489,USD,18275489,"Fortuna streamlines Medicaid navigation for consumers, covering eligibility, enrollment, and renewal processes seamlessly.",https://www.fortunahealth.com/,https://x.com/hifortunahealth,https://www.linkedin.com/company/fortuna-health/,"Benjamin Wesner, Cydney Kim, Nikita Singareddy",2,Series A,22275489,USD,22275489,"Andreessen Horowitz, BoxGroup, Y Combinator",Andreessen Horowitz,Fortuna Health offers healthcare via navigating Medicaid.
Arya Health,https://www.crunchbase.com/organization/arya-359f,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Health Care, Information Technology",2025-10-29,18200000,USD,18200000,Arya Health is a healthcare technology firm dedicated to improving healthcare workforce management with AI-powered automation.,https://www.aryahealth.ai/,https://x.com/Arya_Works,https://www.linkedin.com/company/aryaworks/,"Arunram K., Kunal Sarda, Kunal Sarda",3,Series A,25400000,USD,25400000,"Oceans, Operator Partners, ACME Capital, Ridge Ventures, Twelve Below","ACME Capital, Oceans, Twelve Below",Arya Health is a healthcare technology firm dedicated to improving healthcare workforce management with AI-powered automation.
Novellia,https://www.crunchbase.com/organization/novellia,"New York, New York, United States",2023-01-01,month,"Artificial Intelligence (AI), Health Care, Medical, Software",2026-06-02,18000000,USD,18000000,"Novellia is a healthcare technology company that develops a platform for collecting, organizing, and unifying personal medical information.",https://novellia.com,,https://www.linkedin.com/company/novellia,"Elliot Katz, Shashi Shankar",2,Series A,18000000,USD,18000000,"Khosla Ventures, Bling Capital, Spark Capital, TMV, Acrew Capital",Spark Capital,"Novellia is a patient data and healthcare technology company that develops a platform for collecting, organizing, and unifying personal medical information across multiple healthcare providers. The company provides a digital system that consolidates medical records, lab results, prescriptions, and treatment history into a single user-accessible profile. Its platform allows individuals to upload records manually and connect external patient portals, creating a centralized view of longitudinal health data. The company builds tools designed to help users track symptoms, medications, and health events over time, enabling a structured view of personal health journeys. It also supports data organization features that help users prepare for medical appointments by keeping relevant information in one place. The platform is designed to reduce fragmentation in healthcare information spread across hospitals, clinics, and diagnostic centers. Novellia also operates a data infrastructure layer that aggregates patient-permissioned health records for research purposes. This system enables the transformation of de-identified and aggregated data into insights used in medical research and treatment development. The company collaborates with healthcare and life sciences organizations to support real-world evidence generation and clinical research initiatives."
Cambio,https://www.crunchbase.com/organization/cambio-0fb5,"New York, New York, United States",2022-01-01,year,"Agentic AI, Artificial Intelligence (AI), Business Process Automation (BPA), Commercial Real Estate, Real Estate, Software",2026-01-22,18000000,USD,18000000,Cambio is an AI-native commercial real estate operations platform that transforms raw building data into actionable insights.,https://www.cambio.ai,,https://www.linkedin.com/company/cambioai,"Leia de Guzman, Stephanie Grayson",5,Series A,18650000,USD,18650000,"Pear VC, Y Combinator, Maverick Ventures, Peterson Ventures, Google for Startups","Google for Startups, Maverick Ventures, Y Combinator","Cambio is an AI-powered commercial real estate operations platform that automates the collection, analysis, and reporting of building data to support workflows like capital planning, compliance, sustainability tracking, and retrofit planning. It uses large language models and agentic AI to ingest unstructured documents, integrate utility and performance data, and produce actionable insights and priority-ranked recommendations for property owners, asset managers, and investors. The platform consolidates disparate data into a unified system of record and generates automated reporting for regulatory and investor frameworks. Cambio also supports collaboration across teams and helps clients evaluate investment opportunities and monitor progress toward financial and performance goals."
Garage,https://www.crunchbase.com/organization/garage-4b2f,"New York, New York, United States",2023-11-10,day,"Marketplace, Public Safety",2025-08-20,17840972,USD,17840972,"Garage is a marketplace for previously owned equipment, beginning with firefighting apparatus.",https://www.shopgarage.com,https://x.com/withgarage,https://www.linkedin.com/company/withgarage,"Alaz Sengul, Martin Hunt",3,Series A,22840972,USD,22840972,"Y Combinator, Infinity Ventures, FJ Labs, Initialized Capital, Benchstrength","Infinity Ventures, Initialized Capital, Y Combinator","The garage enables fire agencies to acquire and sell used equipment in seconds rather than days. Garage Marketplace handles payments, freight, and financing, making purchasing and selling equipment simple and secure."
Sola,https://www.crunchbase.com/organization/sola-2d05,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Business Process Automation (BPA), Data Center Automation, Machine Learning, Robotic Process Automation (RPA), Robotics",2025-08-14,17500000,USD,17500000,Sola assists automation-minded companies in building robotic agents that are capable of handling tedious tasks via LLMs and computer vision.,https://www.sola.ai/,https://x.com/SolaAI_,https://www.linkedin.com/company/sola-solutions/,"Jessica Wu, Neil Deshmukh",2,Series A,21000000,USD,21000000,"Andreessen Horowitz, Y Combinator, Conviction","Andreessen Horowitz, Conviction","Sola supports teams focused on automation by helping them create robotic agents proficient in managing repetitive tasks through the use of Large Language Models (LLMs) and computer vision. Sola supports companies across legal, financial, insurance, and healthcare, enabling citizen developers for their teams and process mining their existing workflow."
Status,https://www.crunchbase.com/organization/wishroll,"New York, New York, United States",2022-01-01,year,"Apps, Artificial Intelligence (AI), Digital Media, Gaming, Mobile Apps, Simulation, Social Media",2026-05-19,17000000,USD,17000000,"Status AI is an AI-driven social simulation platform that combines elements of social media, fanfiction, and interactive storytelling.",https://www.statusai.com/,https://x.com/wishroll,https://www.linkedin.com/company/statusai/,"Amit Bhatnagar, Blossom Okonkwo, Fai Nur, Great Okonkwo, Pritesh Kadiwala",4,Series A,34613000,USD,34613000,"General Catalyst, Union Square Ventures, Abstract, Y Combinator, LightShed Ventures","Abstract, General Catalyst, Union Square Ventures, Y Combinator","Status AI is an AI-driven social simulation platform that combines elements of social media, roleplaying, fanfiction, and interactive storytelling. The platform allows users to create digital personas, interact with AI-generated characters, and participate in fictional or user-created worlds through posts, replies, events, and direct interactions. Its system uses AI models that adapt to user choices and maintain ongoing character relationships and story progression over time. The company also incorporates multiplayer and community-based features, enabling users to build collaborative narratives and participate in shared timelines with other players. According to information published on its website and related company profiles, the platform primarily focuses on immersive social entertainment experiences for users interested in fandom communities, character-driven interactions, and AI-assisted storytelling."
FINNY,https://www.crunchbase.com/organization/finny-6acf,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), FinTech, Lead Generation, Machine Learning, Marketing Automation, Wealth Management",2025-12-18,17000000,USD,17000000,FINNY is an AI-powered prospecting and marketing platform that helps financial advisors identify and connect with potential clients.,https://finny.com,https://x.com/FINNYAI,https://www.linkedin.com/company/finnyai,"Eden Ovadia, Theodore Janson, Victoria Toli",3,Series A,21800000,USD,21800000,"Y Combinator, Venrock, Activant Capital, Liquid 2 Ventures, Hanover","Hanover, Maple VC, Venrock, Y Combinator","FINNY is a software platform that provides financial advisors with tools to find, prioritize, and engage potential clients through data-driven prospecting, scoring, and outreach automation. The platform aggregates and analyzes large sets of prospect data to help advisors identify individuals whose recent life events or financial situations may signal readiness for advisory services, and assigns a predictive score to highlight prospects with higher likelihoods of engagement. FINNY also generates personalized outreach content, suggests suitable communication channels, and can manage follow-up interactions and meeting scheduling for advisors. The service is designed to streamline advisor workflows and support targeted client acquisition without manual lead research. Its system continuously updates prospect insights to assist advisors in monitoring opportunities over time."
Extend,https://www.crunchbase.com/organization/extend-4876,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Developer APIs, Document Management, SaaS, Software",2025-06-17,17000000,USD,17000000,"Document processing infrastructure for AI agents. APIs for parsing, extraction, classification, splitting, and editing.",https://www.extend.ai,https://x.com/ExtendHQ,https://www.linkedin.com/company/extend-app,"Eli Badgio, Kushal Byatnal",2,Series A,17500000,USD,17500000,"Y Combinator, Innovation Endeavors, Homebrew, Character, Guillermo Rauch","Innovation Endeavors, Y Combinator","Extend is a document processing company building infrastructure for AI agents and production pipelines. Teams use Extend's APIs and tooling to parse, extract, classify, split, and edit documents — turning PDFs, scans, and images into structured, production-ready data with 99%+ accuracy across 25+ file types and 100+ languages. Founded in 2023 in New York City by Kushal Byatnal and Eli Badgio, Extend is a Y Combinator company (W23) backed by $17M in seed and Series A funding led by Innovation Endeavors. Customers include Brex, Square, Mercury, Checkr, and Flatiron Health, processing millions of documents in financial services, healthcare, real estate, and logistics."
Joyful Health,https://www.crunchbase.com/organization/joyful-health,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Billing, Data Integration, Enterprise Software, Financial Services, Health Care, Health Diagnostics, Medical, Medical Device, Software",2026-04-16,17000000,USD,17000000,Joyful Health provides revenue intelligence software and services that help healthcare practices recover lost insurance and patient revenue.,https://www.joyfulhealth.com/,,https://www.linkedin.com/company/joyful-health-io,Eliana Berger,2,Series A,22000000,USD,22000000,"XYZ Venture Capital, CRV, Designer Fund, Go Global Ventures, Inflect Capital",CRV,"Joyful Health provides revenue intelligence software and services for healthcare practices and related organizations. The platform unifies claims, remittances, contracts, appointments, and payments into a single financial command center. It ingests data from EHR systems, eligibility checks, ERAs, payer contracts, and bank accounts to surface missing revenue and denial issues. The company also offers managed services to handle ongoing denials, unpaid claims, historical and aged accounts receivable, and upcoming EOB reconciliation. Joyful Health serves healthcare practitioners, billing companies, digital health organizations, and practice management groups that want clearer visibility into financial performance and recovered revenue."
Fin,https://www.crunchbase.com/organization/fin-4845,"New York, New York, United States",2022-01-01,year,"Apps, FinTech, Information Technology, Payments",2025-12-03,17000000,USD,17000000,Fin is engineered for high-value payments with business-grade payment rails designed to feel like a payments app.,https://www.fin.tech,https://x.com/fin,https://www.linkedin.com/company/fin-tech,"Aashiq Dheeraj, Ian Krotinsky",2,Series A,17000000,USD,17000000,"Sequoia Capital, Pantera Capital, Samsung NEXT, Multicoin Capital","Multicoin Capital, Pantera Capital, Sequoia Capital",Fin is engineered for high-value payments with business-grade payment rails designed to feel like a payments app rather than a cryptocurrency platform.
Jolly,https://www.crunchbase.com/organization/jolly-3223,"New York, New York, United States",2022-01-01,year,"Employee Benefits, Human Resources, Software",2025-02-10,16500000,USD,16500000,Jolly is a rewards platform for the workplace that incentivizes employee performance.,https://www.jolly.app,,https://www.linkedin.com/company/jolly,Dean Zimberg,1,Series A,16500000,USD,16500000,"Dorm Room Fund, Acadian Ventures, Bullpen Capital, Gokul Rajaram, Eigen Ventures",Zachary Kirkhorn,"Jolly is a rewards platform for the workplace that incentivizes employee performance. It implements performance-based incentives to increase employees utilization, compliance, referrals, and loyalty."
Knit,https://www.crunchbase.com/organization/go-knit,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Consumer Research, Market Research, Software",2025-07-31,16100000,USD,16100000,The AI-Native Research for the world's most iconic brands.,https://goknit.com/,,https://www.linkedin.com/company/goknit/,"Aneesh Dhawan, Raahish Kalaria",3,Series A,28650000,USD,28650000,"Alumni Ventures, Silicon Road Ventures, GFT Ventures, Sound Ventures, Revolution’s Rise of the Rest Seed Fund","GFT Ventures, Revolution’s Rise of the Rest Seed Fund, Silicon Road Ventures, Sound Ventures","Knit pairs forward-deployed researchers with autonomous research agents to deliver decision-ready insights faster and better than traditional agencies, unlocking entirely new ways for the world's most iconic enterprises to run research."
PointOne,https://www.crunchbase.com/organization/pointone-technologies,"New York, New York, United States",2023-01-01,year,"Billing, Legal, Legal Tech, Security",2026-03-23,16000000,USD,16000000,"Automated time, bill review, and firm intelligence for law firms",https://pointone.com/,https://x.com/PointOneAI,https://www.linkedin.com/company/pointoneai/,"Jeremy Ben-Meir, Katon Luaces",3,Series A,19625000,USD,19625000,"General Catalyst, Bessemer Venture Partners, Y Combinator, 8VC, TwentyTwo VC","8VC, Y Combinator",
Amperos,https://www.crunchbase.com/organization/amperos-health,"New York, New York, United States",2023-01-01,year,"Artificial Intelligence (AI), Health Care, Information Technology, InsurTech",2026-04-22,16000000,USD,16000000,Amperos is an AI-powered revenue recovery and denial management platform that reduces claim rejections and optimize collections.,https://www.amperos.com,https://x.com/amperoshealth,https://www.linkedin.com/company/amperos-health,"Alvin Wu, Michal Miernowski, Wilson Wang",2,Series A,20200000,USD,20200000,"Bessemer Venture Partners, Neo, Uncork Capital, Nebular","Bessemer Venture Partners, Uncork Capital","Amperos is a healthcare technology company that focuses on helping providers recover insurance revenue through automated claims management and denial resolution. Its platform uses agentic AI to manage the full lifecycle of insurance collections, including follow-ups, resubmissions, and appeals, while incorporating human expertise for complex cases. The company’s system integrates with existing healthcare workflows and consolidates claims data, payer interactions, and financial activity into a unified process for tracking and resolution. Amperos also provides analytics and insights that help organizations identify patterns in denials and improve billing and collection processes over time."
Remark,https://www.crunchbase.com/organization/remark-ac50,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Generative AI, Information Technology, Internet",2025-07-01,16000000,USD,16000000,Remark is a developer of an AI customer support platform offering multilingual voice and chat agents for automated customer service.,https://remark.ai/,https://x.com/withremark,https://www.linkedin.com/company/withremark,"Carl-Philip Majgaard, Ian Patterson, Theo Satloff",2,Series A,26300000,USD,26300000,"Stripe, Neo, Inspired Capital Partners, Visible Ventures, Shine Capital",Inspired Capital Partners,"Remark is a developer of an AI-powered customer experience platform designed to automate customer support through multilingual voice and chat agents. The company's conversational AI handles inquiries across multiple channels, integrates with enterprise systems, and delivers analytics and workflow automation, enabling organizations to provide faster, scalable, and personalized customer service."
Hook,https://www.crunchbase.com/organization/hook-e631,"New York, New York, United States",2022-01-01,year,"Artificial Intelligence (AI), Music, Social Media",2026-02-18,15754993,USD,15754993,Hook is a social music platform that enables creators to generate authorized remixes and mashups of songs using AI-assisted remixing tools.,https://hookmusic.com,,https://www.linkedin.com/company/hookmusic,Gaurav Sharma,4,Series A,22999987,USD,22999987,"Khosla Ventures, The Raine Group, Point72 Ventures, Palm Tree Crew, Imaginary Ventures","Khosla Ventures, Point72 Ventures, Waverley Capital","Hook is a music technology platform that enables users and creators to generate and share authorized remixes and mashups of songs using AI-assisted remixing tools. It provides software that simplifies the remixing process by offering functionalities such as beat matching, genre and mood filters, mashup capabilities, and integration with short-form social media formats, allowing creators to produce derivative music and combine audio with video elements for social sharing. The platform maintains licensing arrangements with music rights holders so that remixes are created and distributed within copyright guidelines, giving artists and labels control over how their music is used and shared. Hook’s services include a catalog of licensed music moments that users can remix, discover, and remix further, and features that support direct sharing to social channels. The platform also incorporates mechanisms for creators to engage with music communities and explore trending remixes, offering tools that bridge music editing with social interaction. Hook’s technology emphasizes accessibility for music fans and content creators to express creative ideas while navigating rights and monetization structures that link user-generated content with artist compensation systems."
Greenboard,https://www.crunchbase.com/organization/greenboard-8b98,"New York, New York, United States",2023-02-01,month,"Compliance, FinTech, Software",2026-05-12,15500000,USD,15500000,Greenboard is a financial software company that develops software to bridge the gap between regulation and financial innovation.,https://www.greenboard.com/,,https://www.linkedin.com/company/greenboard-compliance,"Dave Feldman, Edward Schembor",3,Series A,20000000,USD,20000000,"General Catalyst, Base10 Partners, Y Combinator, Transpose Platform Management, TwentyTwo VC","Base10 Partners, Y Combinator",Greenboard is a financial technology company.
